用户名,时间,评论内容
VfN948233080,2021-05-01T07:27:26.981Z,还不错 带孩子来玩的就是激活的时候有点慢
Chet霸气,2021-02-15T12:13:10.492Z,惊险，刺激 ，就是时间有点短，下次还去
流星,2021-01-21T15:02:18.732Z,带孩子玩了很多次，感觉还不错，旅游的好地方
Yang斌J,2021-01-08T05:25:34.203Z,很棒，人不多，玩的特别开心。强烈推荐
小耳朵7664,2020-12-31T10:11:54.707Z,好久之前去的了 挺过瘾 就是水有点冷
Cpl477107387,2020-12-23T11:49:09.433Z,后面让我们看看漏财虐金牛座母亲啊老婆有一天荣我裤子我默默
YdQ285160858,2020-12-05T08:31:58.956Z,不怎么样， 和骗人差不多    一点也不实惠
匿名用户,2020-12-03T01:55:01.942Z,很好，环境很美，有机会下次还会去
TUskyler,2020-11-16T08:46:43.625Z,如果不是漂流的话就别去了，除了漂流没什么好玩的
翟小七0330,2020-11-01T02:22:31.323Z,太短了，感觉也就一个小时吧，一般般
sxdyf1314,2020-10-22T02:33:43.494Z,很好玩 每年一次 漂流终点有热水洗浴
婉婉张,2020-10-16T13:09:48.429Z,十一假期去的 下着雨顾客很少 景点还行 起码不会人挤人 小交通收费太贵有点坑！
曹43893494669,2020-09-13T11:57:39.576Z,最好是别带孩子去！最后一段比较危险！
jRA686600792,2020-09-07T11:52:30.739Z,时间挺长，中间有比较平缓的平台可以休息，，水质比较干净，也有比较刺激的部分
zTx563897603,2020-09-07T07:41:42.390Z,景色真心不错，特色项目漂流，由于时间关系没有体验，挺遗憾的！
ckD180457647,2020-09-01T03:16:47.518Z,下午3点多过去 都没水了 一点儿都不刺激
Yec131785374,2020-08-29T11:54:18.793Z,就是儿童票有点小贵😯玩着还是挺不错的
山西叶子,2020-08-29T03:35:46.492Z,挺好的，尤其是60岁以上免门票，太满意了！
匿名用户,2020-08-27T09:08:33.852Z,全程水太小，不够刺激，水还特别脏服务也不好，不会再来绝对差评，
隱隱的淚,2020-08-27T00:01:58.209Z,风景美丽，漂流刺激，夏季游玩好去处
ZW半夏微凉Y,2020-08-26T11:51:27.487Z,风景不错，超棒哦哦，建议他家去玩。
超级茉莉的妈咪,2020-08-25T06:33:00.022Z,每年都去漂流，每年都有不一样的体验，好玩儿🥳
xiebinbinya,2020-08-22T12:07:44.854Z,漂流的时候很好玩儿，水也不凉。
Mr_bai、,2020-08-22T11:08:55.228Z,除了，停车收费，返回坐车30一人以外，基本没啥了
奥迪用车出租,2020-08-21T23:39:03.201Z,还行，就是收费坑了，以前飘完10块钱就下来了，这次要30，以后不去了！套路太深，景区买的蒸饺都发臭！
吴骞小老弟,2020-08-17T15:14:36.222Z,吊车还是可以，一条木的，一条玻璃的，来回换着走，就是玻璃观景台不好，太小
ivanhappy,2020-08-16T10:04:18.708Z,居然没有人告知，也不知道需要把衣物托运到终点并在终点冲淋，等我们回到起点才知道，郁闷，只好找了家农家乐付钱冲洗的
鱼鱼鱼豆腐豆腐,2020-08-16T01:52:16.975Z,漂流玩的还不错，一起来的人越多越好玩，建议一定要早点去，去晚了路上和景区门口很容易堵车，停车5元也不贵，先漂流，把换洗衣服，毛巾，和零食装一个袋子里托运到漂流终点，10元一个箱子，大概比鞋盒大点自己把握，漂流结束后，有免费洗澡，洗干净换好衣服，一路走回来顺便看景色，游玩结束~不足之处，救生衣安全帽都是湿漉漉的还很脏有发霉痕迹，不能弄个烘干消毒的设施么？玩水带盆，瓢，或者能直接从水里吸水的水枪，其他都是辣鸡。穿凉鞋，拖鞋，夹板鞋去，做好全身湿透的准备，什么雨衣都不好使
wJ没心没肺,2020-08-15T09:19:11.526Z,和家人一起去的，整体还算满意！
kDc831703890,2020-08-13T03:53:55.055Z,很刺激很刺激，很好玩很好way，真的很不错，值得一去，喜欢水喜欢刺激的人很值得一去。
Y哆啦A梦的袋鼠兜,2020-08-13T03:21:34.651Z,玩的还可以，水有点脏，水道有点短，不是很刺激
kvD417163948,2020-08-12T16:22:12.780Z,夏天和漂流实在太配了，超级爽。
青涩de番茄,2020-08-12T08:59:22.321Z,豫西大峡谷这段时间还是不错的，买漂流的票送进场门票。漂流好玩，据称挺长的，快两个小时。
匿名用户,2020-08-12T04:20:02.829Z,比较偏，农家乐费用很高！住宿一般般吧
rmb790484414,2020-08-11T08:49:00.652Z,设施不错，服务人员也到位，就是感觉没有6.2km，玩的不是很过瘾。
匿名用户,2020-08-11T06:47:03.916Z,玩的很开心，很刺激，只不过手上的指甲被船给从中间挂断了，问岸上的工作人员他说只能到终点去消毒。但是除门票之外路费太贵，去这里的一定一定要开车来有停车费小车五元大车十元。我们出了高速以后就下车了，再去景区的话没有专车只能打的，(有班车但是时间不定很久才有)也有面包车可以送你上去但是！要五十块，我们两个人，12公里的路程要五十块，打的都比他便宜。我们出来的时候因为班车太长时间才发车所以选择自己走，走到门口的时候想打的走遇到了99号旅店(在景区外面)的老板给我们要40给我们送到高速路口(再次强调只有12公里)最后我们给了他30。再说景区里面漂流下去之后再坐上来一个人30。这里的交通费是真的贵。我们住的是3号宾馆在景区里面老板挺好的，吃的也不贵点的菜只踩了一个雷，睡的环境就是普通的农家宾馆的环境，就是洗澡的水有点凉，不过夏天也没有什么。总的来说除了交通真的一言难尽之外我其他的挺满意的
三宅一生71,2020-08-11T00:52:42.009Z,去了第四次了，水稍微有点脏，其他还好
zz.梧桐树,2020-08-10T12:15:33.428Z,一起漂流吧，来感受豫西漂流的魅力觉得那天的水流有点小，不过还是玩的很开心哈
wyljxz00.,2020-08-09T23:56:04.149Z,漂流水是真的脏，泥水一样，还好可以免费洗澡，还挺刺激，就是有点短，没玩尽兴
匿名用户,2020-08-09T02:08:07.851Z,从老家赶过去的，大概花了两个多小时，算是三门峡周边最值得玩的地方了，环境清幽，服务周到，和老婆一起去的，玩了整整两天，白天玩玩漂流，晚上在广场看看节目，感觉特别惬意，唯一感觉景区中午的饭一般般，下次还会去
姜磊stone,2020-08-06T04:09:41.577Z,极限漂流，安全刺激，取票方便快捷
kkkkkm730,2020-08-05T03:40:31.084Z,很好玩，明年可以再来，赞赞赞赞赞
gqxwlp8155,2020-08-05T03:32:21.922Z,孩子玩的高兴！期待下次会更好！
游鱼9197,2020-08-04T05:36:58.752Z,很美，很刺激，风景也不错，去的时候天气不冷也不热，很不出错，有机会还会去
NRf749587461,2020-08-02T09:22:03.471Z,整体很平缓，没有什么落差。水很脏，游玩感觉一般～l
匿名用户,2020-08-02T07:47:10.924Z,豫西大峡谷，漂流可美了，挺刺激的，喜欢漂亮的朋友们可以去玩玩，让你去了还想去玩，玩的嗨
fMc45573868,2020-08-02T02:23:01.814Z,玩的很开心，唯一一点美中不足的就是救生衣太脏了。
AAC732,2020-08-01T10:57:54.017Z,已经去过好几次了，都觉得非常不错，离家200多公里，依然过来
趣步壹杯红茶,2020-08-01T09:36:55.777Z,豫西大峡谷的景色很美，漂流很刺激，坐在橡皮艇上，穿过鲤鱼跃龙门，龙头门，钻了两个300米的山洞，山洞里的减速带颠簸的很有节奏感，最刺激的就是最后一关，滑道，景区安保措施很到位，值得一游。但是不玩漂流的，可以从正大门的左手边小道进入景区，不需要花50元买门票。
yUO949497228,2020-08-01T06:21:44.857Z,很好玩！孩子特别开心！值得一游！
匿名用户,2020-07-30T12:00:35.781Z,漂流挺好玩的，景区其他景点没啥意思
z18295961613,2020-07-29T08:12:20.445Z,这里的漂流项目挺刺激的，适合身心疲惫的亲们亲身体验！家庭散心的好地方！
紫兰色月光,2020-07-28T06:37:37.420Z,水量很大，漂流船质量很好，漂流途中的安全防护人员很负责任！
TiR833645572,2020-07-28T06:30:22.808Z,挺好的，洗澡水是凉的，如果是温水的话更好
xGa193840753,2020-07-27T09:08:20.665Z,最后一个洞管理人员把握不好时间，这边还没下去，另外一个人都能怼人头上，恶心人
zhao000311,2020-07-26T03:13:44.980Z,非常棒，很刺激超级棒想来的赶紧来，加油
九八,2020-07-25T11:25:28.615Z,满意的地方不说了，漂流确实不错，不满意的地方是到了终点如果坐电瓶车回来的话，票价是每人30，比较坑，还有就是要团购42元的那个的提前两小时买，需要注意
star20885,2020-07-22T06:49:55.686Z,可以可以的环境不错 舒心 凉快 身舒服
淡静中平凡,2020-07-20T18:30:10.797Z,你收费能一次收完吗？哪哪都有收费
iAO193731348,2020-07-20T09:47:03.552Z,不错，刺激，最好的是终点站就可以洗澡，可以干干净净的继续游玩
刘很饿,2020-07-19T04:30:38.234Z,在网上看了很多，选择了这个。尧山大峡谷漂流我去过了，所以想试试其他的。这里水是真脏，臭!腥!时间一个小时多点吧。唯一的亮点就是有个黑色的山洞，黑乎乎的，比较好玩。其他的都是捆绑销售，各种收费，到终点回去一个人收费30，那个衣服托运10元。给个玻璃栈道体验需要买票过去。唉，不建议来，不如尧山。去尧山吧还是。
此生思念,2020-07-18T05:24:50.944Z,还可以，有几个点还挺有意思，没有栾川那边那个长。
朱国敏1994,2020-07-17T00:01:56.941Z,还可以吧？出来不要忘记带衣服。11111111
申小妤,2020-07-16T06:37:02.205Z,漂流很好玩的，夏天必玩项目。爱好漂流的可以行动起来啦。
大哥,2020-07-12T03:31:42.962Z,豫西大峡谷漂流，漂流真的是很棒，真的很不错，推荐大家快和好朋友组团一起去打卡！！！这个漂流全程时间很长，而且过程惊险刺激，很过瘾的！哈哈哈哈哈，温馨提示建议大家去的时候做好防晒工作哦，不然皮肤容易晒黑了。
hRH842992372,2020-07-10T10:42:50.205Z,一般一般就是就是技术监督局点解点解电话号度都好都好嘟嘟
霹雳得鹰,2020-07-09T01:03:31.445Z,还好吧，好多人素质不太高就是，建议注意安全
CdI144745949,2020-07-07T00:22:58.910Z,就是买错漂了去漂流买了套票应该就买漂流的票就可以了白花了几十块钱
fFA981477107,2020-07-01T11:23:08.801Z,不错不错，直接漂流然后走上来看风景
abM915453965,2020-07-01T00:31:27.963Z,观景台很一般，吊桥还可以。感觉不值这个价钱。很小的玻璃台子。不建议玩这个项目。
匿名用户,2020-06-27T02:54:46.970Z,水质差差的厉害，过敏发炎。   垃圾景区
rMN371642943,2020-06-25T15:14:26.674Z,就是附近的住宿条件太差，玩的是真的好。
匿名用户,2020-06-25T09:35:52.896Z,跟别的漂流比 性价比不高 不会来第二次。漂流全程很短 门票也不含回程大巴。一个人30 真的坑。运换洗衣服到下游洗浴处要收快递费。一个盒子只能装两个人换洗衣服。那为啥不把洗浴安排在上游停车场位置。花里胡哨没一个实用的。
pvm978656588,2020-06-25T07:34:07.149Z,绝对差评，几个平方的小地方就敢收这么贵，买票的一个劲的忽悠一百种音效什么的，根本不值当
TFv706147088,2020-06-24T03:41:48.571Z,售票员的服务极差 非常差 非常不满意
ruoruchujianli,2020-06-22T01:20:50.230Z,「豫西大峡谷漂流」「大淙潭瀑布」「挡箭石崖」「濯足池」「三叠峡谷」第一次去豫西大峡谷漂流，很好玩，很刺激！
Xev336335559,2020-06-21T16:20:34.476Z,很刺激，就是水不太好喝，去的时候要带挺多东西的
wou785513241,2020-06-20T04:56:23.269Z,以为会很刺激，结果就是第一下刺激，剩下就很无聊了
wkL986375503,2020-06-13T23:15:58.813Z,水质不太干净，漂流挺开心的，漂流回去不要坐车还能看看风景
匿名用户,2020-06-12T11:19:17.585Z,其中有一段比较刺激，其他的时候都是比较缓慢进行的。
