用户名,时间,评论内容
nUA116602723,2016/7/8,"水很脏，瀑布下面很臭啊，门口是售票处，可以住风景区里面，刚进来的时候以为跟西双版纳或者其他景区一样是酒店形式住宿，但是买了门票进来以后是一个村庄，都是农家乐样子 <span class=""feedbackmore"">的。下午准备漂流，听别人说漂流完后还要做他们的大巴车回来，但是坐大巴要收30元车费，不知道是真是假，因为以前在别的地方漂流完都是免费大巴回来的。不会来第二次的。 <i class=""text-icon icon-toggle-arrow"">"
愚人月光,2016/10/23,不像个正规的景区，漂流还马马虎虎，哪有什么景点。对这景区门票表示不理解。荒山野岭的，哪有什么景色可言。
番茄你个鸡蛋007,2016/11/3,比较繁琐，漂流很不顺畅经常被卡主了
vv熊妈妈,2016/8/20,里面漂流很好玩，值得一玩，可以先不坐缆车，等到12点漂流开始再来玩可以晚点起。漂流完在走回来刚好游览一下路线。可以省10缆车和30大巴钱哦。
RWk742729808,2016/11/2,一般般，服务环境，水质量都一般般，没有想象好
XKYHY,2016/10/8,环境优美。山清水秀。值得大家游玩！
Lz461521,2016/10/27,玩耍的很美，一直没有评论，现在特意来评论下。不错不错，真的不错。
yq20678194,2016/8/27,"我从西安过去的，建议九点出发，三个小时左右到达，中午12点到下午16点漂流时间，玩的很不错，打水仗，带好换的干衣服，带上水枪🔫，还有泼水装备。玩完下午就可以返 <span class=""feedbackmore"">回西安了。住宿很便宜，标间，三人间80元。但是吃饭很贵，一盘土豆丝36大洋，其它菜自己想象吧！ <i class=""text-icon icon-toggle-arrow"">"
阿呆wt,2016/8/3,漂流还是很嗨的 刚去的时候雨下的非常大 都想走了 等了会儿雨过天晴 可以玩了 而且订票有个专门的窗口挺方便的。
皮特精灵,2016/8/12,景区门票价格适中，取票非常方便，朋友们玩的非常开心，推荐大家都来玩。
sq19890529,2016/10/20,环境挺好的，就是去的不是时候，漂流好冷！
花无期2011,2016/8/15,听话的地方，服务热情，环境也不错！重点是漂流好刺激！
rEm698755225,2016/10/8,漂流超级好玩就是时间有点短。夏天还会再去的
W屌丝女子,2016/8/17,服务很周到，漂流很刺激。值得一去。
崤山余脉,2016/8/23,很好。漂流很刺激。虽然很热，但是大家玩的很开心。
乖巧的她，新,2016/8/27,整体还不错，比如果许多的漂流都要安全，值得推荐，不过大家最好穿雨衣，不然身上会湿！
花无期2011,2016/8/15,昨天去的，已经是第二次了，依然很刺激！也很安全。水里还有小鱼，河蚌，孩子玩的不想走呢！
静静456456,2016/10/13,还可以吧，挺喜欢的。下次和朋友还会再去的。
MIL378922045,2016/8/17,进门的时候挺不愉快的，1米2多的小孩子还要买票，提前也没有告知。不过漂流没有失望，挺刺激挺好玩的。下次还想去。
OCo766707057,2016/10/12,挺刺激的 意犹未尽 下次还会再去
vv熊妈妈,2016/8/20,非常好玩值得一来，漂流很带劲。
匿名用户,2016/8/13,漂流还可以，服务太一般，到了景区还要排队换票，柜存衣服还要另收钱，而且交通十分不便。
wwx800228,2016/10/6,景色很美，一路上都是山里的花开红艳艳，特别是漂流是特色，下次去漂流！
vlc654005216,2016/10/12,捆绑销售，六十元的门票掏的亏。
sdc526565928,2016/8/17,很好玩的地方，期待下次再去。漂流特别刺激。
酋长家的大肉肉,2016/9/7,"漂流很不错，但景区的票价收取个人认为不合理，我只漂流却必须买漂流和游览整个景区的票，景区服务真的让人不敢恭维，停车场就是一片杂草丛生的河滩地，停个车还要五元的停 <span class=""feedbackmore"">车费，不像我们秦岭一号，有优惠不说停车还不收费，去一次就好 <i class=""text-icon icon-toggle-arrow"">"
謨419,2016/10/7,刺激，惊险，和家里人很满意的一次出游
謨419,2016/10/7,还说明年夏天再去漂游，很满意的
闫鑫.,2016/10/7,不错实惠，自己开车去很方便，明年再去
zKH136092450,2016/8/4,玩的确实不错，不过像大家说的，就那些基础的配套服务设施都要另掏钱，冲澡10元'柜子10元'十分钟的返回中巴车都要30元，幸好我们都是年轻力壮走着回来的
紫蔷薇628,2016/10/4,不错，漂流很好玩，和朋友一起去的，喜欢！
gpd439258337,2016/8/20,很好玩，以后还会的，也很刺激，
辛夷楣兮,2016/8/1,好恶心啊在门口，门口的人说美团只能提前预定，害得我们在门口等了一个多小时现在已经十点多了。从十堰过来都没吃晚饭，孩子们都饿坏了。再也不要过来玩。呵呵哒
egu468833675,2016/9/29,带女票去玩的还算开心，景区一般般，票价有点小贵，都是冲着漂流去的
egu468833675,2016/9/29,带女票去玩的还算开心，景区一般般，票价有点小贵，都是冲着漂流去的
睡前别吃太饱,2016/8/7,很好 值得推荐 下次还要再去，
帅帅的丁先生,2016/10/3,好玩，美，亲朋好友游玩最佳去处！明年还要去
星辰L丫丫,2016/7/25,很好，之前朋友去过，介绍去的，确实不错，可惜没漂流，带老年人去的，等有机会了再去，一路走来不太费劲，适合体力不太好的人转。
ZF19901104,2016/9/29,每年都会去玩一次 不能赶到旺季去 人太多
美食好吃的,2016/8/14,来漂了好几次了，觉得是周边最刺激的，就是人多的时候服务跟不上，上船的时候没有服务人员
匿名用户,2016/7/13,"这次旅行整体来说还是很愉快的，景色迷人，尤其是漂流玩起来很刺激，很能锻炼人的胆量。不足的是，取票时间比较长，工作人员服务不是很到位，希望以后能够改进。美团买比较 <span class=""feedbackmore"">实惠，，，原价228。下回有需要会再来的。 <i class=""text-icon icon-toggle-arrow"">"
蝴蝶飞fi,2016/7/21,空气质量特别好。非常好玩，打水仗很嗨，大家可以尽情释放。 蓝天白云，山清水秀，旅游的好去处，建议大家提前提前一天团套牌，非常优惠
灿灿专用,2016/8/5,环境不错，挺好玩的，可惜孩子太小不让玩
霸道财神爷爱上我,2016/8/30,不错。可以。就是有后续消费。水脏。没有尧山的漂流刺激。不过也不错
maxiaoqian0405,2016/8/12,特别好玩儿，以后还会再去的，很刺激
Effy_cui,2016/9/28,嗯……就酱吧，并不是愉快的旅行
睡前别吃太饱,2016/8/7,很好 推荐大家去玩 打算过几天再去
王丹0030,2016/7/12,挺好找的，漂流很刺激，玩的很开心，唯一美中不足的是漂流路程太短了，我们看了时间，一个小时差不多，有点小贵，不过还是值得推荐的，因为特殊原因，好几个朋友都没过来，真的挺可惜的，等下次有时间，还要一起去。
GPe563034378,2016/8/13,设施挺好，服务也好，环境也好的
pCW685207889,2016/8/23,豫西大峡谷漂流设施齐全，环境不错，服务也好，玩的高兴！
LLLL置死地而后生,2016/7/30,"门票是捆绑的，就是冲着漂流去的。停车场商家人超好(๑•̀ㅂ•́)و✧，但是取票超级麻烦，排了好久队才告知我美团要去最右边的窗口取票，排队无秩序，售票大厅人员爱答 <span class=""feedbackmore"">不理的问了3次才给我搭话。 漂流过程很开心，玩的确实爽，大家相互泼水很是愉快，漂流过程中下了大雨让漂流更佳惬意。 因为游客太多中间有人被其他充气艇给撞翻的，大家不顾危险的前去帮忙。值得一提的是几个全黑的洞穴很刺激。 玩完坐车回去30/人，柜子10/人 洗澡10/人，停车场5元。 碰到几个工作人员还是很热情的，值得来玩哦！ <i class=""text-icon icon-toggle-arrow"">"
LLLL置死地而后生,2016/7/30,"门票是捆绑的，就是冲着漂流去的。停车场商家人超好(๑•̀ㅂ•́)و✧，但是取票超级麻烦，排了好久队才告知我美团要去最右边的窗口取票，排队无秩序，售票大厅人员爱答 <span class=""feedbackmore"">不理的问了3次才给我搭话。 漂流过程很开心，玩的确实爽，大家相互泼水很是愉快，漂流过程中下了大雨让漂流更佳惬意。 因为游客太多中间有人被其他充气艇给撞翻的，大家不顾危险的前去帮忙。值得一提的是几个全黑的洞穴很刺激。 玩完坐车回去30/人，柜子10/人 洗澡10/人。 碰到几个工作人员还是很热情的，值得来玩哦！ <i class=""text-icon icon-toggle-arrow"">"
Ailing__2009,2016/8/6,取票很方便的，就是取票的时候每人会收60元的押金。我们好几个人去的，玩的很开心，也很刺激的。明年有空再去
潘少春,2016/9/22,服务一般，不过玩的挺爽的，就是水不是太大
匿名用户,2016/7/27,还可以，就是前半段太平了，老搁浅
Selyr可2,2016/8/19,第一次漂流，玩得很开心很尽兴，不过第二天好累。景色也不错
omB193168220,2016/9/22,总体感觉还行，就是价格有点贵，想多去几次
PuG294413514,2016/8/6,"感觉就是骗人的，跑那么远的路，峡谷还要买门票，还没有什么景，又远，非得坐他们的电瓶车。漂流管理的也乱七八糟的，好多人受伤，上船都靠抢的，下船了也没有人接应。柜子 <span class=""feedbackmore"">还要钱，淋浴也要钱，坐大巴上来还要钱，水还特脏，都是黄泥巴水，说实话我去过那么多漂流的地方都没有附加收费的，豫西大峡谷真坑人啊，不值得去。差评，差评，差差评！ 还没有武当峡谷第一漂好玩呢！ <i class=""text-icon icon-toggle-arrow"">"
美丽果59,2016/6/14,"环境美得不用说，就是昨天下雨水有着脏，美女服务态度也很好，由于水不干净，洗澡免费了！中间有三个洞子，第一个120米，好黑，好恐怖，把我吓坏了，第二个50米，还行 <span class=""feedbackmore"">，有了第一个我第二次不怕了，第三个300米漂下去，全是花，风景真心的没！最后走上山，身上也干了！这个很好，很刺激！过段时间再来！ <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2016/8/8,挺刺激的，就飞龙洞最好玩，其他的还可以吧！先在第一个停车场把券给工作人员，买停车票 再在第二个停车场换券
匿名用户,2016/9/22,不错、很喜欢、漂流比尧山好！很刺激！
匿名用户,2016/8/18,售票员屌炸天，说有事情要处理顾着自己打电话不给出票，我就在那站着等…等…等…后来还是旁边的妹子看不下去了给出的票，妈蛋拿货身上没有名牌，没法投诉 漂流总体来说还是蛮刺激的，但是——水！很！脏！
匿名用户,2016/8/19,山里景色很美，我们漂流玩的很嗨
匿名用户,2016/8/12,"环境还不错，爬山真没有什么好玩儿的，然后漂流的话出票请快，但水特别脏，跟黄河里边儿的水一样。漂流时候发的衣服都是自己拿，没有统一的人发放。而且衣服特别脏。还有返 <span class=""feedbackmore"">程的那个车票。30一个人，太贵了。坑货！漂完回来还给晒伤了，真心伤不起！不过飘流还是挺刺激的，去的人多特好玩！ <i class=""text-icon icon-toggle-arrow"">"
Cmq787566780,2016/9/21,很爽，够刺激，推荐你去旅游快去吧
rr890205,2016/8/30,还不错，团购比较便宜，玩的很开心。
卷儿1994,2016/8/15,"感觉没有去年好玩了！岸边那么多拍照的，选照片的时候一张自己的照片都没找见……不会再去了！！！中途有人掉下水了，工作人员还在冷嘲热讽，不施以援手。我觉得 这样的人 <span class=""feedbackmore"">不适合胜任此工作。景区领导是时候给员工做培训了！ <i class=""text-icon icon-toggle-arrow"">"
alasse1985,2016/9/17,如果不能漂流，就不要去了，漂流的水道很棒
Hyj_124,2016/9/16,不错。去的时候天气不是很热。挺满意的
匿名用户,2016/9/15,玩着还不错 就是有点贵 够不够字数？
air500,2016/9/4,挺好的，玩的还挺开心，就是河水味儿重
aiheijin,2016/8/5,漂流是刺激的 船都翻了 落水后还在水里翻滚时就听旁边的安全员喊我俩“先拉船 别让船漂走了” ヽ(￣д￣;)ノ
匿名用户,2016/9/10,"去的时候比较冷了,人不是太多,不过漂流全程还是很好玩的!"
匿名用户,2016/8/20,真是不想说了，进门司机还要买票，进去就是一个破村子，除了漂流根本没什么玩，票价还那么贵，连一点风景都没有，漂流水还脏，根本没什么好玩，原计划两天的行程两个小时就玩完了，这破景区也是没谁了。
VIP51168,2016/7/26,"景区环境很一般，并且价钱太贵，回程车费30元，淋浴10元简直是山里人穷的都是在抢钱了，漂流168也太虚高不值，农家乐的饭菜也太贵，现在山里人也越来越不厚道了。还 <span class=""feedbackmore"">有个小插曲，去排队换票时也没标明每人必须买手卡，我身上钱、手机都给家人保管了，害的我找家人找了半个多小时，为啥不提前说明白点呢，简直太坑爹 <i class=""text-icon icon-toggle-arrow"">"
